"respondent_id","district","poll_id","w_lv","w_rv","birthright_citizenship","check_or_support"
1,"az02","az02-1",0.7363,0.547,NA,"Support"
2,"az02","az02-1",1.0059,0.6411,NA,"Check"
3,"az02","az02-1",1.1542,0.9188,NA,"Check"
4,"az02","az02-1",0.8772,0.4805,NA,"Check"
5,"az02","az02-1",0.6954,0.4226,NA,"Check"
6,"az02","az02-1",1.1027,0.6743,NA,"Support"
7,"az02","az02-1",1.1094,0.7947,NA,"Don't know"
8,"az02","az02-1",0.8703,0.5588,NA,"Support"
9,"az02","az02-1",0.9443,0.8585,NA,"Check"
10,"az02","az02-1",0.9129,0.8691,NA,"Support"
11,"az02","az02-1",0.6394,0.4218,NA,"Check"
12,"az02","az02-1",1.1656,0.8293,NA,"Support"
13,"az02","az02-1",1.1656,0.8348,NA,"Support"
14,"az02","az02-1",0.8987,0.7045,NA,"Check"
15,"az02","az02-1",0.9562,0.7135,NA,"Check"
16,"az02","az02-1",0.6554,0.4609,NA,"Support"
17,"az02","az02-1",0.7007,0.4814,NA,"Support"
18,"az02","az02-1",0.5715,0.339,NA,"Support"
19,"az02","az02-1",0.8357,0.7112,NA,"Check"
20,"az02","az02-1",0.9563,1.4481,NA,"Check"
21,"az02","az02-1",0.7328,0.6527,NA,"Check"
22,"az02","az02-1",0.9443,0.755,NA,"Check"
23,"az02","az02-1",1.3259,1.0723,NA,"Check"
24,"az02","az02-1",0.9266,0.5211,NA,"Check"
25,"az02","az02-1",0.7306,0.4422,NA,"Check"
26,"az02","az02-1",1.0059,0.6434,NA,"Support"
27,"az02","az02-1",0.9266,0.5249,NA,"Check"
28,"az02","az02-1",1.0113,0.6129,NA,"Check"
29,"az02","az02-1",0.6886,0.4316,NA,"Support"
30,"az02","az02-1",0.9574,0.5703,NA,"Support"
31,"az02","az02-1",0.7363,0.5014,NA,"Don't know"
32,"az02","az02-1",0.7931,0.513,NA,"Support"
33,"az02","az02-1",0.844,0.7246,NA,"Check"
34,"az02","az02-1",1.145,0.8548,NA,"Check"
35,"az02","az02-1",0.89,0.7165,NA,"Check"
36,"az02","az02-1",1.3201,0.9607,NA,"Don't know"
37,"az02","az02-1",0.7931,0.5106,NA,"Support"
38,"az02","az02-1",0.8426,0.7426,NA,"Support"
39,"az02","az02-1",0.8471,0.693,NA,"Support"
40,"az02","az02-1",1.3335,0.8396,NA,"Check"
41,"az02","az02-1",1.313,1.3156,NA,"Support"
42,"az02","az02-1",0.6005,0.348,NA,"Check"
43,"az02","az02-1",1.1567,0.7417,NA,"Check"
44,"az02","az02-1",0.7931,0.5157,NA,"Support"
45,"az02","az02-1",1.1586,0.7132,NA,"Don't know"
46,"az02","az02-1",1.145,1.1366,NA,"Check"
47,"az02","az02-1",0.7306,0.4437,NA,"Check"
48,"az02","az02-1",1.0982,1.229,NA,"Check"
49,"az02","az02-1",0.6954,0.422,NA,"Check"
50,"az02","az02-1",1.1512,0.8731,NA,"Check"
51,"az02","az02-1",1.0841,0.7783,NA,"Check"
52,"az02","az02-1",0.6237,0.5878,NA,"Check"
53,"az02","az02-1",1.1027,0.6847,NA,"Support"
54,"az02","az02-1",1.1567,0.7562,NA,"Check"
55,"az02","az02-1",1.6079,2.7811,NA,"Don't know"
56,"az02","az02-1",1.0982,1.3406,NA,"Check"
57,"az02","az02-1",1.2657,0.9383,NA,"Don't know"
58,"az02","az02-1",1.0616,1.2241,NA,"Support"
59,"az02","az02-1",1.0071,0.9144,NA,"Don't know"
60,"az02","az02-1",0.8521,1.5593,NA,"Support"
61,"az02","az02-1",0.6343,0.4262,NA,"Check"
62,"az02","az02-1",1.0158,0.5874,NA,"Check"
63,"az02","az02-1",1.1659,0.8022,NA,"Check"
64,"az02","az02-1",0.6954,0.4466,NA,"Don't know"
65,"az02","az02-1",1.0755,0.777,NA,"Check"
66,"az02","az02-1",1.2047,0.9671,NA,"Check"
67,"az02","az02-1",1.012,0.7529,NA,"Support"
68,"az02","az02-1",1.3201,1.5494,NA,"Don't know"
69,"az02","az02-1",1.2358,1.7556,NA,"Check"
70,"az02","az02-1",0.9574,0.573,NA,"Support"
71,"az02","az02-1",1.2692,0.9211,NA,"Don't know"
72,"az02","az02-1",0.7549,0.4881,NA,"Support"
73,"az02","az02-1",0.6343,0.3738,NA,"Check"
74,"az02","az02-1",1.1951,0.8134,NA,"Support"
75,"az02","az02-1",0.7313,0.4311,NA,"Check"
76,"az02","az02-1",1.0902,0.7176,NA,"Support"
77,"az02","az02-1",1.2557,0.9415,NA,"Support"
78,"az02","az02-1",1.1586,0.7438,NA,"Support"
79,"az02","az02-1",0.7999,3.3646,NA,"Don't know"
80,"az02","az02-1",0.8888,0.6241,NA,"Support"
81,"az02","az02-1",0.6954,0.4222,NA,"Check"
82,"az02","az02-1",0.6163,0.4911,NA,"Support"
83,"az02","az02-1",1.2713,0.7726,NA,"Support"
84,"az02","az02-1",0.764,0.6144,NA,"Check"
85,"az02","az02-1",0.7306,0.4496,NA,"Check"
86,"az02","az02-1",1.2557,0.8419,NA,"Support"
87,"az02","az02-1",0.9558,0.5882,NA,"Check"
88,"az02","az02-1",1.2346,1.9084,NA,"Support"
89,"az02","az02-1",1.0123,0.6729,NA,"Check"
90,"az02","az02-1",0.8423,0.5401,NA,"Check"
91,"az02","az02-1",1.1512,1.3559,NA,"Support"
92,"az02","az02-1",1.1567,0.7341,NA,"Don't know"
93,"az02","az02-1",1.1474,2.7303,NA,"Check"
94,"az02","az02-1",1.1325,0.7316,NA,"Support"
95,"az02","az02-1",1.145,1.1169,NA,"Check"
96,"az02","az02-1",0.5715,0.3481,NA,"Check"
97,"az02","az02-1",0.9516,0.9456,NA,"Check"
98,"az02","az02-1",0.8888,0.5605,NA,"Check"
99,"az02","az02-1",1.0902,0.7806,NA,"Support"
100,"az02","az02-1",1.1656,0.9284,NA,"Check"
101,"az02","az02-1",0.6343,0.3793,NA,"Check"
102,"az02","az02-1",1.1009,0.7249,NA,"Check"
103,"az02","az02-1",0.7313,0.4329,NA,"Check"
104,"az02","az02-1",0.8199,0.6289,NA,"Check"
105,"az02","az02-1",1.1009,0.7185,NA,"Support"
106,"az02","az02-1",0.696,0.429,NA,"Check"
107,"az02","az02-1",1.1586,0.7111,NA,"Support"
108,"az02","az02-1",1.116,0.8792,NA,"Check"
109,"az02","az02-1",1.0683,0.5976,NA,"Check"
110,"az02","az02-1",0.5982,0.7867,NA,"Support"
111,"az02","az02-1",0.7313,0.4776,NA,"Check"
112,"az02","az02-1",1.1951,0.8054,NA,"Support"
113,"az02","az02-1",1.1951,0.8484,NA,"Support"
114,"az02","az02-1",1.2497,1.0701,NA,"Support"
115,"az02","az02-1",1.1578,0.7065,NA,"Check"
116,"az02","az02-1",1.313,1.0871,NA,"Support"
