respondent_id,district,poll_id,w_buyer,w_consumer,phone_type,product_preference,better_product,purchase_propensity
1,az02,az02-1,0.7363,0.547,Cell,B,B is Better,Almost certain
2,az02,az02-1,1.0059,0.6411,Landline,B,B is Better,Almost certain
3,az02,az02-1,1.1542,0.9188,Landline,A,A is Better,Almost certain
4,az02,az02-1,0.8772,0.4805,Landline,A,A is Better,Almost certain
5,az02,az02-1,0.6954,0.4226,Landline,A,A is Better,Almost certain
6,az02,az02-1,1.1027,0.6743,Landline,B,B is Better,Almost certain
7,az02,az02-1,1.1094,0.7947,Landline,B,B is Better,Almost certain
8,az02,az02-1,0.8703,0.5588,Landline,B,B is Better,Almost certain
9,az02,az02-1,0.9443,0.8585,Landline,A,A is Better,Almost certain
10,az02,az02-1,0.9129,0.8691,Cell,B,B is Better,Very likely
11,az02,az02-1,0.6394,0.4218,Landline,A,A is Better,Almost certain
12,az02,az02-1,1.1656,0.8293,Cell,A,B is Better,Very likely
13,az02,az02-1,1.1656,0.8348,Landline,Und,B is Better,Almost certain
14,az02,az02-1,0.8987,0.7045,Landline,A,A is Better,Almost certain
15,az02,az02-1,0.9562,0.7135,Landline,A,A is Better,Almost certain
16,az02,az02-1,0.6554,0.4609,Landline,B,B is Better,Almost certain
17,az02,az02-1,0.7007,0.4814,Cell,B,B is Better,Very likely
18,az02,az02-1,0.5715,0.339,Cell,B,A is Better,Almost certain
19,az02,az02-1,0.8357,0.7112,Landline,A,A is Better,Almost certain
20,az02,az02-1,0.9563,1.4481,Landline,A,B is Better,Almost certain
21,az02,az02-1,0.7328,0.6527,Landline,A,A is Better,Almost certain
22,az02,az02-1,0.9443,0.755,Landline,A,A is Better,Almost certain
23,az02,az02-1,1.3259,1.0723,Landline,A,A is Better,Almost certain
24,az02,az02-1,0.9266,0.5211,Cell,A,A is Better,Almost certain
25,az02,az02-1,0.7306,0.4422,Landline,A,A is Better,Almost certain
26,az02,az02-1,1.0059,0.6434,Landline,B,B is Better,Almost certain
27,az02,az02-1,0.9266,0.5249,Cell,A,A is Better,Almost certain
28,az02,az02-1,1.0113,0.6129,Cell,A,A is Better,Almost certain
29,az02,az02-1,0.6886,0.4316,Cell,Und,B is Better,Very likely
30,az02,az02-1,0.9574,0.5703,Cell,B,B is Better,Very likely
31,az02,az02-1,0.7363,0.5014,Landline,A,A is Better,Very likely
32,az02,az02-1,0.7931,0.513,Landline,B,B is Better,Almost certain
